"ticker","status","market_cap","breakout_flag","image_path","expired_date","asset_type","candle_size","company_name"
"WMS","SUCCESS","10.450556907515558",2,"WMS_1d_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Advanced Drainage Systems Inc"
"FIVE","SUCCESS","10.305593925824653",1,"FIVE_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Five Below Inc"
"EME","SUCCESS","10.297087041513572",1,"EME_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","EMCOR Group Inc"
"QRVO","SUCCESS","10.275817938587782",1,"QRVO_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Qorvo Inc"
"HII","SUCCESS","10.178341568476997",1,"HII_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Huntington Ingalls Industries Inc"
"XPO","SUCCESS","9.847281933380945",2,"XPO_1d_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","XPO Inc"
"TTC","SUCCESS","9.640565689782942",1,"TTC_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Toro Co"
"DVA","SUCCESS","9.56458865195484",1,"DVA_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","DaVita Inc"
"LSCC","SUCCESS","9.449422511743897",2,"LSCC_1d_latest_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Lattice Semiconductor Corp"
"TOST","SUCCESS","9.367173570469506",1,"TOST_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Toast Inc"
"RRX","SUCCESS","9.27896435030812",2,"RRX_1d_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Regal Rexnord Corp"
"HOOD","SUCCESS","9.26181465589316",2,"HOOD_1d_max_resistance_bullish_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Robinhood Markets Inc"
"MEDP","SUCCESS","9.073091517300357",2,"MEDP_1d_latest_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Medpace Holdings Inc"
"RL","SUCCESS","9.015613139580871",2,"RL_1d_max_resistance_bullish_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Ralph Lauren Corp"
"CVNA","SUCCESS","8.968249507676004",1,"CVNA_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","Carvana Co"
"TREX","SUCCESS","8.93740022996185",1,"TREX_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Trex Company Inc"
"AGCO","SUCCESS","8.810373016604107",2,"AGCO_1d_min_support_bearish_latest_min_support_bearish.png","2024-02-22","STOCK","1d","AGCO Corp"
"BJ","SUCCESS","8.761797234276186",2,"BJ_1d_latest_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","BJ's Wholesale Club Holdings Inc"
